Pais,Anio,Emisiones_de_CO2
México,2016,465.320401255
México,2017,474.74942103
México,2018,472.354715405
México,2019,456.148338455
México,1980,-1.0
Panamá,1988,12.0
Panamá,1989,11.038431678
Panamá,1990,11.036030926
Panamá,1991,12.076866346
Panamá,1992,12.108093206
Panamá,1993,12.100885397
Panamá,1994,12.127312035
Panamá,1995,13.129712787
Panamá,1996,14.086475333
Panamá,1997,12.041512074
Panamá,1998,13.049301762
Panamá,1999,14.069663458
Panamá,2000,13.090816349
Panamá,2001,13.111954771
Panamá,2002,13.058398007
Panamá,2003,13.02182957
Panamá,2004,13.03557884
Panamá,2005,14.02633974
Panamá,2006,14.017100639
Panamá,2007,14.012208956
Panamá,2008,14.008943835
Panamá,2009,15.089743119
Panamá,2010,16.117426654
Panamá,2011,19.13350749
Panamá,2012,20.641222589
Panamá,2013,22.254963207
Panamá,2014,21.896275494
Panamá,2015,22.365397062
Panamá,2016,23.052440017
Panamá,2017,24.554451595
Panamá,2018,26.670110313
Panamá,2019,26.79318633
Panamá,1981,5.39004
Panamá,1982,5.2
Panamá,1983,4.7
Panamá,1984,5.0
Panamá,1985,4.9
Panamá,1986,3.5
Panamá,1987,11.0
Panamá,1980,-1.0
Surinam,1989,1.1
Surinam,1993,1.4
Surinam,2008,2.030626983
Surinam,2010,2.1
Surinam,2011,2.7
Surinam,2012,2.056473316
Surinam,2013,2.458005569
Surinam,2014,2.26434235
Surinam,2015,2.359134371
Surinam,2016,2.220087
Surinam,2017,2.049781
Surinam,2018,2.308820001
Surinam,2019,2.314032735
Surinam,1981,2.08924
Surinam,1987,1.3
Surinam,2006,2.0
Surinam,2007,2.0
Surinam,2009,2.0
Surinam,1985,1.0
Surinam,1980,-1.0
Surinam,1991,1.5
Surinam,1992,1.5
Surinam,1994,1.5
Surinam,1995,1.5
Surinam,1996,1.5
Surinam,1997,1.5
Surinam,1998,1.5
Surinam,1999,1.5
Surinam,2000,1.5
Surinam,1988,1.2
Surinam,1990,1.2
Surinam,1984,1.2
